Price,Model_year,Milage,Brand,Model,Fuel_type,Transmission,Accident,Clean_title,condition
4000,2009.0,238000.0,toyota,yaris hatchback,gas,automatic,Unknown,Clean,good
7500,1972.0,1234.0,ford,f-250,gas,automatic,Unknown,Clean,fair
29590,2016.0,20153.0,ford,mustang gt coupe 2d,other,other,Unknown,Clean,good
12800,2007.0,278824.0,lexus,gx 470 4dr suv,gas,automatic,Unknown,Clean,
13995,2012.0,114420.0,bmw,335i,gas,automatic,Unknown,Clean,
8900,2012.0,128881.0,ford,fusion sel,gas,automatic,Unknown,Clean,excellent
23590,2019.0,2059.0,volkswagen,tiguan 2.0t s sport,gas,other,Unknown,Clean,good
13000,1986.0,116900.0,ford,f-350,diesel,manual,Unknown,Clean,good
4800,1970.0,111000.0,dodge,dart,gas,automatic,Unknown,Clean,fair
27640,2013.0,22745.0,lexus,rx 350,gas,automatic,Unknown,Unknown,excellent
30590,2015.0,35463.0,bmw,z4 sdrive28i roadster 2d,gas,other,Unknown,Clean,good
48995,2019.0,19449.0,audi,q7 se premium plus,gas,automatic,Unknown,Clean,excellent
22590,2017.0,39508.0,ram,1500 regular cab tradesman,gas,other,Unknown,Clean,good
9500,2007.0,168000.0,ford,f-150,gas,automatic,Unknown,Clean,excellent
20000,2016.0,49177.0,honda,accord sport,gas,automatic,Unknown,Clean,
22590,2013.0,14169.0,ford,f150 super cab xl pickup 4d,other,other,Unknown,Clean,good
45900,2007.0,86000.0,chevrolet,"silverado 2500 diesel 4x4 6.6l lmm duramax turbo diesel crew cab ltz allison 1000 automatic 6"" lifted one owner",diesel,automatic,Unknown,Clean,
18990,2017.0,57500.0,toyota,prius two hatchback 4d,hybrid,other,Unknown,Clean,good
28709,2021.0,26000.0,chevrolet,trailblazer rs,gas,automatic,Unknown,Clean,good
33900,1999.0,131000.0,ford,f-350 diesel 4x4 7.3l power stroke turbo diesel ext cab long bed dually 6-speed manual,diesel,manual,Unknown,Clean,
19498,2018.0,124287.0,chevrolet,express cargo van,gas,automatic,Unknown,Clean,excellent
12916,2013.0,114263.0,cadillac,xts,gas,automatic,Unknown,Clean,excellent
27008,2018.0,35721.0,jeep,grand cherokee,gas,automatic,Unknown,Clean,
43999,2015.0,53600.0,chevrolet,silverado 1500,gas,automatic,Unknown,Clean,
64999,2018.0,19000.0,dodge,challenger srt hellcat,gas,automatic,Unknown,Clean,excellent
12995,2013.0,79702.0,nissan,altima 3.5 sl,gas,automatic,Unknown,Clean,excellent
10995,2012.0,88882.0,volvo,s60,gas,automatic,Unknown,Clean,good
5995,2012.0,411.0,chrysler,200,gas,automatic,Unknown,Clean,
43995,2014.0,163606.0,ford,f-350,diesel,automatic,Unknown,Clean,
4000,2011.0,9023.0,chevrolet,camaro ss,gas,manual,Unknown,Clean,
19500,2019.0,38200.0,mitsubishi,outlander,gas,automatic,Unknown,Clean,good
48990,2020.0,17463.0,audi,a6 45 tfsi premium plus,gas,other,Unknown,Clean,good
39995,2016.0,29000.0,chevrolet,silverado 2500hd work,gas,automatic,Unknown,Clean,
6900,2008.0,203577.0,dodge,charger,gas,automatic,Unknown,Clean,
